WO,District,LeadTech,Service,Rush,ReqDate,WorkDate,Techs,WtyLbr,WtyParts, LbrHrs , PartsCost ,Payment, Wait ,LbrRate, LbrCost , LbrFee , PartsFee , TotalCost , TotalFee ,ReqDay,WorkDay
A00256,South,Lopez,Install,,14-Nov-20,5-Dec-20,1,,,1.75,183.95,P.O.,21,#REF!,#REF!,#REF!,183.95,#REF!,#REF!,Sat,Sat
A00257,West,Khan,Assess,Yes,14-Nov-20,2-Dec-20,1,,,0.25,26.58,P.O.,18,#REF!,#REF!,#REF!,26.58,#REF!,#REF!,Sat,Wed
A00258,West,Khan,Assess,,16-Nov-20,2-Dec-20,1,,,0.5,13.42,C.O.D.,16,#REF!,#REF!,#REF!,13.42,#REF!,#REF!,Mon,Wed
A00259,West,Khan,Install,,16-Nov-20,3-Dec-20,1,,,1,324,P.O.,17,#REF!,#REF!,#REF!,324,#REF!,#REF!,Mon,Thu
A00260,Southeast,Khan,Replace,,17-Nov-20,9-Dec-20,2,,,0.5,504.21,C.O.D.,22,#REF!,#REF!,#REF!,504.21,#REF!,#REF!,Tue,Wed
A00261,Central,Khan,Assess,Yes,17-Nov-20,15-Dec-20,2,,,0.5,338.07,Account,28,#REF!,#REF!,#REF!,338.07,#REF!,#REF!,Tue,Tue
A00262,Southeast,Burton,Assess,,18-Nov-20,30-Nov-20,2,,,1.5,0.98,C.O.D.,12,#REF!,#REF!,#REF!,0.98,#REF!,#REF!,Wed,Mon
A00263,Southeast,Khan,Assess,,18-Nov-20,30-Nov-20,1,,,0.5,14.88,Account,12,#REF!,#REF!,#REF!,14.88,#REF!,#REF!,Wed,Mon
A00264,South,Lopez,Assess,,19-Nov-20,30-Nov-20,1,,,0.5,81.9,Account,11,#REF!,#REF!,#REF!,81.9,#REF!,#REF!,Thu,Mon
A00265,Northwest,Burton,Assess,,19-Nov-20,3-Dec-20,2,,,0.25,21.33,Account,14,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Thu,Thu
A00266,Central,Khan,Assess,,19-Nov-20,3-Dec-20,1,,,0.25,120,P.O.,14,#REF!,#REF!,#REF!,120,#REF!,#REF!,Thu,Thu
A00267,Northwest,Michner,Replace,,19-Nov-20,17-Dec-20,2,,,0.5,"1,579.40",Account,28,#REF!,#REF!,#REF!,"1,579.40",#REF!,#REF!,Thu,Thu
A00268,South,Khan,Replace,,21-Nov-20,30-Nov-20,2,,,0.5,174.18,C.O.D.,9,#REF!,#REF!,#REF!,174.18,#REF!,#REF!,Sat,Mon
A00269,Central,Burton,Replace,,23-Nov-20,7-Dec-20,1,,,0.75,20,Account,14,#REF!,#REF!,#REF!,20,#REF!,#REF!,Mon,Mon
A00270,Northwest,Khan,Install,,23-Nov-20,5-Jan-21,1,,,2.5,689.15,P.O.,43,#REF!,#REF!,#REF!,689.15,#REF!,#REF!,Mon,Tue
A00271,Southeast,Michner,Assess,,23-Nov-20,7-Jan-21,1,,,0.25,156,Account,45,#REF!,#REF!,#REF!,156,#REF!,#REF!,Mon,Thu
A00272,South,Lopez,Assess,,23-Nov-20,16-Jan-21,1,,,0.25,45.73,Account,54,#REF!,#REF!,#REF!,45.73,#REF!,#REF!,Mon,Sat
A00273,East,Ling,Replace,,23-Nov-20,9-Feb-21,2,,,0.5,204.28,Account,78,#REF!,#REF!,#REF!,204.28,#REF!,#REF!,Mon,Tue
A00274,Northwest,Khan,Deliver,Yes,24-Nov-20,26-Nov-20,1,,,0.25,21.33,Account,2,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Tue,Thu
A00275,Southeast,Khan,Replace,,24-Nov-20,3-Dec-20,1,,,0.5,34.08,P.O.,9,#REF!,#REF!,#REF!,34.08,#REF!,#REF!,Tue,Thu
A00276,Northwest,Michner,Replace,,24-Nov-20,3-Dec-20,2,,,0.75,212.01,Account,9,#REF!,#REF!,#REF!,212.01,#REF!,#REF!,Tue,Thu
A00277,Northwest,Khan,Repair,,24-Nov-20,7-Dec-20,1,,,1,341.27,C.O.D.,13,#REF!,#REF!,#REF!,341.27,#REF!,#REF!,Tue,Mon
A00278,Central,Cartier,Replace,,24-Nov-20,18-Feb-21,1,,,0.5,25.77,Account,86,#REF!,#REF!,#REF!,25.77,#REF!,#REF!,Tue,Thu
A00279,Southeast,Khan,Assess,Yes,25-Nov-20,7-Dec-20,1,,,0.5,133.37,Account,12,#REF!,#REF!,#REF!,133.37,#REF!,#REF!,Wed,Mon
A00280,West,Khan,Assess,,25-Nov-20,4-Jan-21,1,,,0.5,66.86,Account,40,#REF!,#REF!,#REF!,66.86,#REF!,#REF!,Wed,Mon
A00281,West,Khan,Assess,,25-Nov-20,4-Jan-21,1,,,0.75,94.26,P.O.,40,#REF!,#REF!,#REF!,94.26,#REF!,#REF!,Wed,Mon
A00282,West,Khan,Assess,,25-Nov-20,4-Jan-21,1,,,0.25,120,C.O.D.,40,#REF!,#REF!,#REF!,120,#REF!,#REF!,Wed,Mon
A00283,West,Khan,Deliver,,26-Nov-20,2-Dec-20,1,,,0.25,120,Account,6,#REF!,#REF!,#REF!,120,#REF!,#REF!,Thu,Wed
A00284,Northwest,Burton,Deliver,Yes,26-Nov-20,3-Dec-20,1,,,0.25,45.99,P.O.,7,#REF!,#REF!,#REF!,45.99,#REF!,#REF!,Thu,Thu
A00285,Southeast,Burton,Assess,,26-Nov-20,10-Dec-20,1,,,0.5,33,C.O.D.,14,#REF!,#REF!,#REF!,33,#REF!,#REF!,Thu,Thu
A00286,Northwest,Michner,Assess,,26-Nov-20,11-Jan-21,1,,,0.25,21.33,C.O.D.,46,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Thu,Mon
A00287,Northwest,Cartier,Deliver,Yes,26-Nov-20,17-Feb-21,1,,,0.25,37.26,Account,83,#REF!,#REF!,#REF!,37.26,#REF!,#REF!,Thu,Wed
A00288,Southeast,Khan,Replace,,27-Nov-20,22-Dec-20,1,,,1,81.89,C.O.D.,25,#REF!,#REF!,#REF!,81.89,#REF!,#REF!,Fri,Tue
A00289,Central,Khan,Deliver,Yes,30-Nov-20,8-Dec-20,1,,,0.25,10.1,C.O.D.,8,#REF!,#REF!,#REF!,10.1,#REF!,#REF!,Mon,Tue
A00290,Southeast,Khan,Deliver,,30-Nov-20,8-Dec-20,1,,,0.25,17.88,Account,8,#REF!,#REF!,#REF!,17.88,#REF!,#REF!,Mon,Tue
A00291,Northeast,Michner,Repair,,30-Nov-20,8-Dec-20,2,,,2.75,"1,204.64",C.O.D.,8,#REF!,#REF!,#REF!,"1,204.64",#REF!,#REF!,Mon,Tue
A00292,Northeast,Burton,Repair,,30-Nov-20,17-Dec-20,2,,,3,111,C.O.D.,17,#REF!,#REF!,#REF!,111,#REF!,#REF!,Mon,Thu
A00293,West,Khan,Assess,,30-Nov-20,4-Jan-21,1,,,0.25,21.21,P.O.,35,#REF!,#REF!,#REF!,21.21,#REF!,#REF!,Mon,Mon
A00294,Northeast,Ling,Assess,,30-Nov-20,25-Feb-21,2,,,0.5,158.31,C.O.D.,87,#REF!,#REF!,#REF!,158.31,#REF!,#REF!,Mon,Thu
A00295,Southeast,Burton,Assess,,1-Dec-20,11-Jan-21,1,,,0.5,36.75,C.O.D.,41,#REF!,#REF!,#REF!,36.75,#REF!,#REF!,Tue,Mon
A00296,North,Ling,Replace,,1-Dec-20,4-May-21,2,,,0.5,242.07,C.O.D.,154,#REF!,#REF!,#REF!,242.07,#REF!,#REF!,Tue,Tue
A00297,Northwest,Khan,Assess,,2-Dec-20,17-Dec-20,1,,,0.5,30,C.O.D.,15,#REF!,#REF!,#REF!,30,#REF!,#REF!,Wed,Thu
A00298,Northwest,Khan,Assess,Yes,2-Dec-20,15-Dec-20,1,,,0.5,52.9,C.O.D.,13,#REF!,#REF!,#REF!,52.9,#REF!,#REF!,Wed,Tue
A00299,Northwest,Cartier,Deliver,Yes,2-Dec-20,17-Dec-20,1,,,0.25,36.75,Account,15,#REF!,#REF!,#REF!,36.75,#REF!,#REF!,Wed,Thu
A00300,Southeast,Michner,Deliver,,2-Dec-20,7-Jan-21,1,,,0.25,45.24,C.O.D.,36,#REF!,#REF!,#REF!,45.24,#REF!,#REF!,Wed,Thu
A00301,Northwest,Cartier,Replace,Yes,2-Dec-20,27-Jan-21,1,,,0.75,42.66,Account,56,#REF!,#REF!,#REF!,42.66,#REF!,#REF!,Wed,Wed
A00302,North,Ling,Replace,,2-Dec-20,15-Feb-21,2,,,1,226,Account,75,#REF!,#REF!,#REF!,226,#REF!,#REF!,Wed,Mon
A00303,South,Michner,Assess,,3-Dec-20,6-Jan-21,2,,,0.5,45.24,Account,34,#REF!,#REF!,#REF!,45.24,#REF!,#REF!,Thu,Wed
A00304,Northwest,Burton,Deliver,Yes,3-Dec-20,25-Jan-21,1,,,0.25,36.97,C.O.D.,53,#REF!,#REF!,#REF!,36.97,#REF!,#REF!,Thu,Mon
A00305,South,Lopez,Assess,,5-Dec-20,23-Dec-20,1,,,0.5,138.57,Account,18,#REF!,#REF!,#REF!,138.57,#REF!,#REF!,Sat,Wed
A00306,South,Lopez,Deliver,,5-Dec-20,6-Jan-21,1,,,0.25,126.56,Account,32,#REF!,#REF!,#REF!,126.56,#REF!,#REF!,Sat,Wed
A00307,West,Burton,Install,,7-Dec-20,5-Jan-21,2,,,1,51.45,P.O.,29,#REF!,#REF!,#REF!,51.45,#REF!,#REF!,Mon,Tue
A00308,South,Lopez,Deliver,,7-Dec-20,7-Jan-21,1,,,0.25,227.94,Account,31,#REF!,#REF!,#REF!,227.94,#REF!,#REF!,Mon,Thu
A00309,Northwest,Michner,Replace,,7-Dec-20,11-Jan-21,1,,,0.5,367.71,P.O.,35,#REF!,#REF!,#REF!,367.71,#REF!,#REF!,Mon,Mon
A00310,North,Khan,Replace,,7-Dec-20,12-Jan-21,2,,,1.25,637.53,Account,36,#REF!,#REF!,#REF!,637.53,#REF!,#REF!,Mon,Tue
A00311,Central,Khan,Replace,,8-Dec-20,15-Dec-20,2,,,3,21.33,Account,7,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Tue,Tue
A00312,West,Cartier,Replace,,8-Dec-20,16-Dec-20,2,,,1.5,318.73,Account,8,#REF!,#REF!,#REF!,318.73,#REF!,#REF!,Tue,Wed
A00313,Northwest,Cartier,Replace,Yes,8-Dec-20,12-Feb-21,2,,,0.75,35.45,Account,66,#REF!,#REF!,#REF!,35.45,#REF!,#REF!,Tue,Fri
A00314,South,Lopez,Install,,9-Dec-20,17-Dec-20,1,,,1.75,131.3,P.O.,8,#REF!,#REF!,#REF!,131.3,#REF!,#REF!,Wed,Thu
A00315,Northwest,Cartier,Deliver,,9-Dec-20,11-Jan-21,1,,,0.25,37.26,C.O.D.,33,#REF!,#REF!,#REF!,37.26,#REF!,#REF!,Wed,Mon
A00316,Northeast,Michner,Install,,9-Dec-20,12-Jan-21,2,,,3,"1,193.75",C.O.D.,34,#REF!,#REF!,#REF!,"1,193.75",#REF!,#REF!,Wed,Tue
A00317,Southeast,Michner,Replace,Yes,10-Dec-20,14-Dec-20,1,,,0.5,250.42,C.O.D.,4,#REF!,#REF!,#REF!,250.42,#REF!,#REF!,Thu,Mon
A00318,South,Lopez,Deliver,,10-Dec-20,7-Jan-21,1,,,0.25,67.7,P.O.,28,#REF!,#REF!,#REF!,67.7,#REF!,#REF!,Thu,Thu
A00319,Central,Burton,Install,,10-Dec-20,7-Jan-21,2,,,1.25,58.24,Account,28,#REF!,#REF!,#REF!,58.24,#REF!,#REF!,Thu,Thu
A00320,West,Lopez,Assess,,10-Dec-20,14-Jan-21,1,,,0.5,32.23,P.O.,35,#REF!,#REF!,#REF!,32.23,#REF!,#REF!,Thu,Thu
A00321,Central,Khan,Replace,,10-Dec-20,23-Jan-21,1,,,2.25,180,Account,44,#REF!,#REF!,#REF!,180,#REF!,#REF!,Thu,Sat
A00322,West,Khan,Assess,Yes,12-Dec-20,28-Jan-21,1,,,1,337.92,Account,47,#REF!,#REF!,#REF!,337.92,#REF!,#REF!,Sat,Thu
A00323,Northwest,Michner,Assess,Yes,14-Dec-20,15-Dec-20,1,,,0.75,63.99,Account,1,#REF!,#REF!,#REF!,63.99,#REF!,#REF!,Mon,Tue
A00324,West,Khan,Assess,,14-Dec-20,16-Dec-20,1,,,0.5,145.89,P.O.,2,#REF!,#REF!,#REF!,145.89,#REF!,#REF!,Mon,Wed
A00325,West,Khan,Deliver,,14-Dec-20,4-Jan-21,1,,,0.25,30,P.O.,21,#REF!,#REF!,#REF!,30,#REF!,#REF!,Mon,Mon
A00326,West,Khan,Replace,,14-Dec-20,4-Jan-21,1,,,0.5,57.1,Account,21,#REF!,#REF!,#REF!,57.1,#REF!,#REF!,Mon,Mon
A00327,North,Khan,Install,,14-Dec-20,13-Jan-21,2,,,3.5,262.44,Account,30,#REF!,#REF!,#REF!,262.44,#REF!,#REF!,Mon,Wed
A00328,West,Khan,Assess,,14-Dec-20,19-Jan-21,1,,,0.5,21.33,P.O.,36,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Mon,Tue
A00329,South,Lopez,Repair,,14-Dec-20,4-May-21,1,,,4,"1,769.63",P.O.,141,#REF!,#REF!,#REF!,"1,769.63",#REF!,#REF!,Mon,Tue
A00330,South,Lopez,Replace,,15-Dec-20,13-Jan-21,1,,,0.75,82.88,P.O.,29,#REF!,#REF!,#REF!,82.88,#REF!,#REF!,Tue,Wed
A00331,Central,Michner,Assess,,15-Dec-20,25-Jan-21,2,,,0.75,"2,294.00",Account,41,#REF!,#REF!,#REF!,"2,294.00",#REF!,#REF!,Tue,Mon
A00332,Southeast,Khan,Assess,,16-Dec-20,23-Dec-20,1,,,1,348.74,Account,7,#REF!,#REF!,#REF!,348.74,#REF!,#REF!,Wed,Wed
A00333,South,Lopez,Assess,,16-Dec-20,14-Jan-21,1,,,0.25,140.4,Account,29,#REF!,#REF!,#REF!,140.4,#REF!,#REF!,Wed,Thu
A00334,East,Ling,Assess,,16-Dec-20,1-Feb-21,2,,,0.5,134,Account,47,#REF!,#REF!,#REF!,134,#REF!,#REF!,Wed,Mon
A00335,Northwest,Burton,Repair,,21-Dec-20,26-Jan-21,2,,,1,305.63,Account,36,#REF!,#REF!,#REF!,305.63,#REF!,#REF!,Mon,Tue
A00336,Northwest,Michner,Assess,Yes,4-Jan-21,11-Jan-21,1,,,0.25,19.2,Account,7,#REF!,#REF!,#REF!,19.2,#REF!,#REF!,Mon,Mon
A00337,South,Lopez,Assess,,4-Jan-21,13-Jan-21,1,,,0.5,18.53,P.O.,9,#REF!,#REF!,#REF!,18.53,#REF!,#REF!,Mon,Wed
A00338,West,Lopez,Deliver,,4-Jan-21,13-Jan-21,1,,,0.25,39,Account,9,#REF!,#REF!,#REF!,39,#REF!,#REF!,Mon,Wed
A00339,South,Lopez,Assess,,4-Jan-21,14-Jan-21,2,,,0.25,36.5,P.O.,10,#REF!,#REF!,#REF!,36.5,#REF!,#REF!,Mon,Thu
A00340,Central,Cartier,Assess,,4-Jan-21,14-Jan-21,2,,,0.5,29.81,C.O.D.,10,#REF!,#REF!,#REF!,29.81,#REF!,#REF!,Mon,Thu
A00341,Central,Michner,Assess,,4-Jan-21,14-Jan-21,1,,,0.25,43.02,Account,10,#REF!,#REF!,#REF!,43.02,#REF!,#REF!,Mon,Thu
A00342,Northwest,Burton,Deliver,,4-Jan-21,21-Jan-21,1,,,0.25,66.86,Account,17,#REF!,#REF!,#REF!,66.86,#REF!,#REF!,Mon,Thu
A00343,Northwest,Burton,Replace,,4-Jan-21,11-Feb-21,1,,,0.75,408.57,Account,38,#REF!,#REF!,#REF!,408.57,#REF!,#REF!,Mon,Thu
A00344,South,Lopez,Assess,,5-Jan-21,14-Jan-21,1,,,0.25,25.25,P.O.,9,#REF!,#REF!,#REF!,25.25,#REF!,#REF!,Tue,Thu
A00345,Central,Cartier,Replace,,5-Jan-21,25-Jan-21,1,,,1.25,646,Account,20,#REF!,#REF!,#REF!,646,#REF!,#REF!,Tue,Mon
A00346,Central,Michner,Deliver,,5-Jan-21,30-Jan-21,1,,,0.25,125.42,C.O.D.,25,#REF!,#REF!,#REF!,125.42,#REF!,#REF!,Tue,Sat
A00347,Northwest,Khan,Assess,,5-Jan-21,2-Feb-21,2,,,0.75,286.73,Account,28,#REF!,#REF!,#REF!,286.73,#REF!,#REF!,Tue,Tue
A00348,South,Michner,Install,,5-Jan-21,2-Feb-21,1,,,2.5,258.03,C.O.D.,28,#REF!,#REF!,#REF!,258.03,#REF!,#REF!,Tue,Tue
A00349,South,Lopez,Assess,,5-Jan-21,4-May-21,1,,,0.25,14.3,P.O.,119,#REF!,#REF!,#REF!,14.3,#REF!,#REF!,Tue,Tue
A00350,South,Lopez,Assess,,6-Jan-21,18-Jan-21,1,,,0.25,44.85,P.O.,12,#REF!,#REF!,#REF!,44.85,#REF!,#REF!,Wed,Mon
A00351,Northwest,Michner,Assess,,6-Jan-21,21-Jan-21,2,,,0.5,74.61,C.O.D.,15,#REF!,#REF!,#REF!,74.61,#REF!,#REF!,Wed,Thu
A00352,North,Ling,Replace,Yes,6-Jan-21,3-Feb-21,2,,,0.5,126.71,Account,28,#REF!,#REF!,#REF!,126.71,#REF!,#REF!,Wed,Wed
A00353,North,Ling,Replace,,6-Jan-21,4-Mar-21,2,,,1.25,256.84,Account,57,#REF!,#REF!,#REF!,256.84,#REF!,#REF!,Wed,Thu
A00354,Southeast,Cartier,Deliver,,7-Jan-21,19-Jan-21,1,,,0.25,32.67,P.O.,12,#REF!,#REF!,#REF!,32.67,#REF!,#REF!,Thu,Tue
A00355,Northwest,Cartier,Assess,Yes,7-Jan-21,1-Feb-21,2,,,0.5,72.35,Account,25,#REF!,#REF!,#REF!,72.35,#REF!,#REF!,Thu,Mon
A00356,North,Ling,Replace,,7-Jan-21,5-Feb-21,2,,,0.5,178.5,C.O.D.,29,#REF!,#REF!,#REF!,178.5,#REF!,#REF!,Thu,Fri
A00357,Northwest,Burton,Replace,,7-Jan-21,22-Feb-21,1,,,0.5,18.25,C.O.D.,46,#REF!,#REF!,#REF!,18.25,#REF!,#REF!,Thu,Mon
A00358,North,Ling,Assess,,7-Jan-21,22-Feb-21,2,,,1.75,151.81,C.O.D.,46,#REF!,#REF!,#REF!,151.81,#REF!,#REF!,Thu,Mon
A00359,Southeast,Burton,Deliver,,8-Jan-21,16-Jan-21,1,,,0.25,85.09,C.O.D.,8,#REF!,#REF!,#REF!,85.09,#REF!,#REF!,Fri,Sat
A00360,South,Lopez,Assess,,8-Jan-21,1-Feb-21,1,,,0.25,67.07,Account,24,#REF!,#REF!,#REF!,67.07,#REF!,#REF!,Fri,Mon
A00361,South,Lopez,Deliver,,11-Jan-21,21-Jan-21,1,,,0.25,162.21,Account,10,#REF!,#REF!,#REF!,162.21,#REF!,#REF!,Mon,Thu
A00362,Southeast,Burton,Install,,11-Jan-21,28-Jan-21,1,,,1.25,53.69,Account,17,#REF!,#REF!,#REF!,53.69,#REF!,#REF!,Mon,Thu
A00363,Southeast,Michner,Assess,,11-Jan-21,1-Feb-21,2,,,1,211.85,C.O.D.,21,#REF!,#REF!,#REF!,211.85,#REF!,#REF!,Mon,Mon
A00364,South,Lopez,Assess,,11-Jan-21,1-Feb-21,1,,,0.25,150.32,P.O.,21,#REF!,#REF!,#REF!,150.32,#REF!,#REF!,Mon,Mon
A00365,East,Ling,Assess,,11-Jan-21,23-Feb-21,2,,,0.25,46.86,Account,43,#REF!,#REF!,#REF!,46.86,#REF!,#REF!,Mon,Tue
A00366,South,Lopez,Assess,,12-Jan-21,21-Jan-21,1,,,0.25,19.5,P.O.,9,#REF!,#REF!,#REF!,19.5,#REF!,#REF!,Tue,Thu
A00367,Central,Cartier,Replace,,12-Jan-21,19-Jan-21,1,,,1.25,256.72,C.O.D.,7,#REF!,#REF!,#REF!,256.72,#REF!,#REF!,Tue,Tue
A00368,Northwest,Khan,Replace,,13-Jan-21,30-Jan-21,1,,,1,86.29,C.O.D.,17,#REF!,#REF!,#REF!,86.29,#REF!,#REF!,Wed,Sat
A00369,South,Lopez,Assess,,14-Jan-21,19-Jan-21,1,,,0.25,108.31,P.O.,5,#REF!,#REF!,#REF!,108.31,#REF!,#REF!,Thu,Tue
A00370,Southeast,Cartier,Assess,,14-Jan-21,25-Jan-21,1,,,0.25,70.82,C.O.D.,11,#REF!,#REF!,#REF!,70.82,#REF!,#REF!,Thu,Mon
A00371,South,Lopez,Assess,Yes,14-Jan-21,1-Feb-21,1,,,0.5,56.92,Account,18,#REF!,#REF!,#REF!,56.92,#REF!,#REF!,Thu,Mon
A00372,Northwest,Burton,Assess,,14-Jan-21,5-Feb-21,2,,,0.5,74.53,C.O.D.,22,#REF!,#REF!,#REF!,74.53,#REF!,#REF!,Thu,Fri
A00373,North,Ling,Assess,,14-Jan-21,15-Feb-21,2,,,0.5,137.22,Account,32,#REF!,#REF!,#REF!,137.22,#REF!,#REF!,Thu,Mon
A00374,Northwest,Cartier,Assess,Yes,15-Jan-21,1-Feb-21,2,,,0.5,83.46,Account,17,#REF!,#REF!,#REF!,83.46,#REF!,#REF!,Fri,Mon
A00375,West,Khan,Assess,,16-Jan-21,3-Feb-21,1,,,1,9.92,P.O.,18,#REF!,#REF!,#REF!,9.92,#REF!,#REF!,Sat,Wed
A00376,Southeast,Cartier,Assess,,18-Jan-21,25-Jan-21,1,,,0.25,72.35,C.O.D.,7,#REF!,#REF!,#REF!,72.35,#REF!,#REF!,Mon,Mon
A00377,Northwest,Cartier,Deliver,Yes,18-Jan-21,27-Jan-21,1,,,0.25,19.98,Account,9,#REF!,#REF!,#REF!,19.98,#REF!,#REF!,Mon,Wed
A00378,East,Ling,Repair,,18-Jan-21,2-Feb-21,2,,,1.25,85.32,Account,15,#REF!,#REF!,#REF!,85.32,#REF!,#REF!,Mon,Tue
A00379,West,Khan,Assess,,18-Jan-21,1-Mar-21,1,,,0.5,180,P.O.,42,#REF!,#REF!,#REF!,180,#REF!,#REF!,Mon,Mon
A00380,East,Ling,Assess,,19-Jan-21,4-Feb-21,2,,,0.25,52.35,Account,16,#REF!,#REF!,#REF!,52.35,#REF!,#REF!,Tue,Thu
A00381,East,Ling,Assess,,19-Jan-21,9-Feb-21,2,,,0.5,45.29,Account,21,#REF!,#REF!,#REF!,45.29,#REF!,#REF!,Tue,Tue
A00382,South,Lopez,Deliver,,20-Jan-21,28-Jan-21,1,,,0.25,11.7,Account,8,#REF!,#REF!,#REF!,11.7,#REF!,#REF!,Wed,Thu
A00383,Central,Khan,Deliver,,20-Jan-21,13-May-21,1,,,0.25,37.71,P.O.,113,#REF!,#REF!,#REF!,37.71,#REF!,#REF!,Wed,Thu
A00384,Central,Michner,Install,,21-Jan-21,2-Feb-21,1,,,1,155.04,C.O.D.,12,#REF!,#REF!,#REF!,155.04,#REF!,#REF!,Thu,Tue
A00385,South,Lopez,Assess,,21-Jan-21,12-Feb-21,1,,,1.25,93.6,P.O.,22,#REF!,#REF!,#REF!,93.6,#REF!,#REF!,Thu,Fri
A00386,North,Ling,Deliver,,21-Jan-21,10-Feb-21,1,,,0.25,21.33,Account,20,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Thu,Wed
A00387,Central,Burton,Repair,,21-Jan-21,23-Mar-21,1,,,2.5,357.11,Account,61,#REF!,#REF!,#REF!,357.11,#REF!,#REF!,Thu,Tue
A00388,Northwest,Burton,Deliver,,22-Jan-21,30-Jan-21,1,,,0.25,120,C.O.D.,8,#REF!,#REF!,#REF!,120,#REF!,#REF!,Fri,Sat
A00389,Southeast,Burton,Replace,,25-Jan-21,9-Feb-21,1,,,0.5,52.35,C.O.D.,15,#REF!,#REF!,#REF!,52.35,#REF!,#REF!,Mon,Tue
A00390,Northwest,Cartier,Replace,,25-Jan-21,15-Feb-21,1,,,3.25,511.88,Account,21,#REF!,#REF!,#REF!,511.88,#REF!,#REF!,Mon,Mon
A00391,North,Ling,Replace,,25-Jan-21,20-Mar-21,2,,,2,368.87,Account,54,#REF!,#REF!,#REF!,368.87,#REF!,#REF!,Mon,Sat
A00392,North,Ling,Deliver,,27-Jan-21,4-Feb-21,1,,,0.25,120,Account,8,#REF!,#REF!,#REF!,120,#REF!,#REF!,Wed,Thu
A00393,North,Ling,Replace,Yes,27-Jan-21,22-Feb-21,2,,,0.5,5.47,C.O.D.,26,#REF!,#REF!,#REF!,5.47,#REF!,#REF!,Wed,Mon
A00394,Southeast,Khan,Assess,,28-Jan-21,8-Feb-21,1,,,1,60,C.O.D.,11,#REF!,#REF!,#REF!,60,#REF!,#REF!,Thu,Mon
A00395,Northwest,Burton,Replace,,28-Jan-21,10-Feb-21,1,,,0.75,114.89,P.O.,13,#REF!,#REF!,#REF!,114.89,#REF!,#REF!,Thu,Wed
A00396,North,Ling,Assess,,28-Jan-21,18-Feb-21,2,,,0.25,23.9,C.O.D.,21,#REF!,#REF!,#REF!,23.9,#REF!,#REF!,Thu,Thu
A00397,South,Lopez,Assess,,28-Jan-21,18-Feb-21,1,,,0.25,57.2,P.O.,21,#REF!,#REF!,#REF!,57.2,#REF!,#REF!,Thu,Thu
A00398,Northwest,Burton,Replace,,28-Jan-21,3-Mar-21,2,,,8.5,653.99,Account,34,#REF!,#REF!,#REF!,653.99,#REF!,#REF!,Thu,Wed
A00399,South,Lopez,Assess,,28-Jan-21,16-Mar-21,1,,,0.5,9.75,Account,47,#REF!,#REF!,#REF!,9.75,#REF!,#REF!,Thu,Tue
A00400,North,Ling,Replace,,30-Jan-21,2-Feb-21,2,,,0.5,134,Account,3,#REF!,#REF!,#REF!,134,#REF!,#REF!,Sat,Tue
A00401,North,Ling,Assess,,1-Feb-21,10-Feb-21,2,,,0.25,144,Account,9,#REF!,#REF!,#REF!,144,#REF!,#REF!,Mon,Wed
A00402,Northwest,Burton,Assess,,1-Feb-21,10-Feb-21,1,,,0.5,205.19,C.O.D.,9,#REF!,#REF!,#REF!,205.19,#REF!,#REF!,Mon,Wed
A00403,West,Lopez,Replace,,1-Feb-21,25-Feb-21,1,,,0.5,42.9,Account,24,#REF!,#REF!,#REF!,42.9,#REF!,#REF!,Mon,Thu
A00404,East,Ling,Replace,,1-Feb-21,3-Mar-21,2,,,1.5,319.82,Account,30,#REF!,#REF!,#REF!,319.82,#REF!,#REF!,Mon,Wed
A00405,Northeast,Ling,Assess,,1-Feb-21,11-Mar-21,1,,,0.25,21.33,Account,38,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Mon,Thu
A00406,North,Ling,Assess,,2-Feb-21,2-Feb-21,2,,,0.5,21.33,Account, -   ,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Tue,Tue
A00407,East,Ling,Replace,,2-Feb-21,9-Feb-21,2,,,0.5,"1,231.20",C.O.D.,7,#REF!,#REF!,#REF!,"1,231.20",#REF!,#REF!,Tue,Tue
A00408,North,Ling,Replace,,2-Feb-21,17-Feb-21,2,,,0.5,56.5,C.O.D.,15,#REF!,#REF!,#REF!,56.5,#REF!,#REF!,Tue,Wed
A00409,North,Ling,Replace,,2-Feb-21,18-Feb-21,2,,,0.5,269.95,Account,16,#REF!,#REF!,#REF!,269.95,#REF!,#REF!,Tue,Thu
A00410,East,Ling,Replace,,2-Feb-21,3-Mar-21,2,,,0.5,83.23,Account,29,#REF!,#REF!,#REF!,83.23,#REF!,#REF!,Tue,Wed
A00411,Southeast,Burton,Deliver,,2-Feb-21,18-Mar-21,1,,,0.25,88.62,Account,44,#REF!,#REF!,#REF!,88.62,#REF!,#REF!,Tue,Thu
A00412,West,Khan,Deliver,,2-Feb-21,25-May-21,1,,,0.25,40,P.O.,112,#REF!,#REF!,#REF!,40,#REF!,#REF!,Tue,Tue
